Date,PLN,EUR,CZK,DKK,NOK,RUB,CHF,SEK,HUF,GBP
2005-2,3.1169400000000005,1.3082999999999998,23.144315789473684,5.687685,6.279294736842107,28.01075,1.181215789473684,6.926111111111109,188.1636842105263,1.8765549999999998
2005-3,3.0531055555555557,1.3021736842105265,22.97978947368421,5.716563157894737,6.411040000000001,27.95064117647059,1.189773684210526,6.973676470588236,186.96055555555554,1.8897157894736842
2005-4,3.0575857142857137,1.3192799999999998,22.701888888888888,5.640926315789474,6.215773333333334,27.65649230769231,1.1749200000000002,6.884473684210526,186.13642857142855,1.90558
2005-5,3.218889473684211,1.2935850000000002,23.29363157894737,5.761752941176471,6.317889473684211,27.79985789473684,1.1953894736842106,7.084605263157894,191.94650000000001,1.896115
2005-6,3.2918210526315788,1.2655999999999998,23.850899999999996,5.887099999999999,6.3739375,27.978135294117646,1.223411111111111,7.275657894736843,198.90875000000003,1.8517149999999998
2005-7,3.3344761904761904,1.215352380952381,24.681888888888885,6.125065000000001,6.489144999999999,28.54486875,1.266925,7.6274999999999995,204.41,1.8174285714285716
2005-8,3.404005,1.205095,25.02294117647059,6.189964999999999,6.5646,28.688219999999994,1.2937444444444444,7.802500000000001,204.23700000000002,1.7496349999999996
2005-9,3.28532,1.2303545454545453,24.00940909090909,6.06695,6.436768181818182,28.47712857142857,1.2621263157894735,7.589419047619047,198.71476190476187,1.796314285714285
2005-10,3.2034190476190476,1.2221190476190475,23.97905,6.104295238095238,6.393380952380952,28.391394999999996,1.2702833333333332,7.641309523809523,201.49761904761903,1.8043142857142858
2005-11,3.26326875,1.20221,24.703894736842106,6.209711111111111,6.512415789473685,28.55594,1.2876823529411765,7.828823529411763,209.31,1.7648149999999998
2005-12,3.367595,1.1763380952380955,24.85361111111111,6.340728571428572,6.672468421052631,28.803229411764704,1.3132142857142857,8.12029411764706,213.35142857142853,1.7319571428571425
2006-1,3.2412894736842106,1.186766666666667,24.418650000000003,6.277300000000001,6.721615,28.7973,1.3047666666666666,7.934027777777776,212.76399999999998,1.747185
2006-2,3.143126315789474,1.2126666666666666,23.647999999999996,6.153138095238096,6.630861111111111,28.22534375,1.2775714285714284,7.667647058823529,206.98700000000002,1.768547619047619
2006-3,3.1760473684210533,1.192436842105263,23.801437500000002,6.262076470588235,6.760775,28.188875000000003,1.3068263157894737,7.839166666666667,210.97263157894736,1.745647368421053
2006-4,3.2348818181818184,1.2029454545454543,23.834454545454545,6.202813636363637,6.624661904761906,27.834419047619047,1.305659090909091,7.8090909090909095,217.38190476190474,1.7419863636363637
2006-5,3.189129411764706,1.2287562499999998,23.245812499999996,6.056475,6.368293333333333,27.538255555555555,1.28143125,7.5846875,216.14235294117645,1.7701588235294121
2006-6,3.0517333333333334,1.2773818181818184,22.1325,5.840344999999999,6.106280000000001,27.03421578947368,1.2180857142857142,7.305714285714285,205.35095238095238,1.8709863636363635
2006-7,3.181631578947369,1.2644666666666666,22.464285714285715,5.904545000000001,6.235639999999999,26.986645,1.2340789473684213,7.294999999999999,216.17399999999992,1.841490476190476
2006-8,3.1457263157894735,1.267675,22.465117647058822,5.88527,6.2589894736842115,26.911905,1.237572222222222,7.265874999999999,218.49349999999998,1.8454749999999998
2006-9,3.043485714285714,1.2814545454545454,21.9825,5.822222727272727,6.241405263157894,26.753913636363635,1.2311047619047617,7.187159090909091,214.11000000000004,1.8954095238095239
2006-10,3.119947368421053,1.2714600000000003,22.330105263157897,5.86731,6.507652631578947,26.75042,1.245595,7.281874999999999,215.67350000000005,1.8837349999999997
2006-11,3.091110526315789,1.2608476190476192,22.442789473684215,5.913209523809523,6.658680952380952,26.86631428571429,1.2614238095238097,7.332738095238096,211.4105263157895,1.8760190476190477
2006-12,2.9620833333333336,1.2910047619047618,21.719833333333334,5.781884210526317,6.385942105263158,26.567055555555562,1.2355684210526316,7.051052631578948,200.46368421052628,1.9146380952380955
2007-1,2.8863833333333337,1.3208888888888888,21.016294117647057,5.643994444444444,6.1779111111111105,26.290355555555557,1.2100588235294116,6.8370588235294125,192.21529411764703,1.96315
2007-2,2.993047619047619,1.2975666666666665,21.490666666666666,5.744514285714286,6.384315789473684,26.527850000000004,1.2457749999999999,6.999124999999999,195.81285714285718,1.959252380952381
2007-3,2.9763421052631585,1.308784210526316,21.57747368421052,5.695568421052632,6.177231578947369,26.29392222222222,1.2404055555555553,7.03265625,193.5521052631579,1.9559578947368415
2007-4,2.9322600000000003,1.3252333333333335,21.15871428571429,5.6214571428571425,6.13917,26.097252631578947,1.2182684210526316,7.02407894736842,188.1315789473684,1.9477523809523813
2007-5,2.8196722222222217,1.3534294117647059,20.70872222222222,5.500411764705882,5.9907875,25.786664285714284,1.2114866666666666,6.836041666666667,181.75444444444446,1.9924722222222222
2007-6,2.8018199999999998,1.3504409090909089,20.9081,5.516159999999999,6.02631,25.82423333333333,1.2225947368421053,6.823499999999999,184.03333333333336,1.982159090909091
2007-7,2.8384055555555556,1.3423,21.29005,5.5486,5.997050000000001,25.905018749999993,1.23325,6.935,186.501,1.9872599999999998
2007-8,2.7479714285714287,1.3724619047619047,20.579315789473682,5.42175238095238,5.784861904761904,25.52929523809524,1.208144444444444,6.6976666666666675,180.13809523809525,2.0348761904761905
2007-9,2.799261904761905,1.3619181818181816,20.438909090909092,5.465677272727273,5.853418181818182,25.63004761904762,1.2027450000000002,6.896874999999999,187.52714285714288,2.0081909090909087
2007-10,2.715331578947368,1.3944684210526317,19.787,5.344173684210525,5.604031578947368,25.145799999999998,1.180258823529412,6.6557894736842105,181.58684210526323,2.017978947368421
2007-11,2.5987150000000003,1.4239,19.185619047619042,5.234772727272728,5.409831818181818,24.87664090909091,1.1742571428571427,6.451428571428571,176.26789473684212,2.0454136363636364
2007-12,2.486230000000001,1.470495238095238,18.178578947368422,5.069595238095238,5.4199190476190475,24.430780000000006,1.1209285714285717,6.319868421052631,173.1357142857143,2.0692904761904765
2008-1,2.4706058823529413,1.4562111111111111,18.05635294117647,5.120411764705882,5.491170588235295,24.587244444444448,1.1399687499999998,6.446458333333333,173.91562500000003,2.014794444444444
2008-2,2.453585714285714,1.4725809523809525,17.671809523809525,5.059623809523809,5.403430000000001,24.49151666666667,1.0981238095238095,6.415,174.2395238095238,1.9696809523809524
2008-3,2.413841176470588,1.476005,17.1584,5.05109,5.379334999999999,24.487294736842106,1.08926,6.343999999999999,177.9465,1.962685
2008-4,2.2741470588235293,1.5569722222222222,16.220631578947366,4.7872,5.120799999999999,23.696294736842106,1.008238888888889,6.047361111111112,166.8263157894737,2.004461111111111
2008-5,2.180965,1.5760949999999998,15.901749999999998,4.734273684210526,5.046075,23.508900000000004,1.01343,5.946052631578947,160.616,1.981004761904762
2008-6,2.1853473684210525,1.5559999999999998,16.119904761904763,4.793135,5.054045,23.728080952380953,1.0435750000000001,5.987857142857143,158.6965,1.96324
2008-7,2.1653555555555553,1.5563449999999999,15.56795,4.790031578947368,5.140673684210526,23.619094736842104,1.03709,6.029705882352942,155.692,1.9655750000000005
2008-8,2.0625590909090907,1.5758909090909092,14.927045454545457,4.7341227272727275,5.107631818181818,23.34543181818182,1.0269809523809523,6.000119047619047,146.96818181818182,1.987845454545454
2008-9,2.2123789473684212,1.4898200000000001,16.344,5.008435000000001,5.347489473684211,24.28741,1.08769,6.303289473684211,158.51736842105265,1.8771894736842103
2008-10,2.3542000000000005,1.4336809523809524,17.07004761904762,5.203699999999999,5.70517619047619,25.345585714285715,1.1112238095238096,6.676904761904762,167.96380952380954,1.7966952380952381
2008-11,2.720504545454545,1.3238454545454545,18.687619047619044,5.63675,6.519354545454546,26.49997142857143,1.1433454545454547,7.45875,195.63600000000002,1.6814909090909091
2008-12,2.9530882352941172,1.2716263157894738,19.900055555555557,5.8584578947368415,6.955636842105264,27.39144736842105,1.1941157894736842,7.987236842105261,208.74842105263156,1.5269894736842107
2009-1,2.9694684210526314,1.354995,19.388315789473687,5.528661111111111,6.9996789473684204,28.204430000000002,1.1399684210526315,7.957365789473685,195.68111111111114,1.4851450000000002
2009-2,3.2131684210526315,1.31662,20.712449999999997,5.662417499999999,6.964965000000001,33.03876875000001,1.13237,8.15097222222222,213.66800000000003,1.4409049999999997
2009-3,3.654815789473684,1.2772684210526315,22.29057894736842,5.833797736842104,6.874294444444445,35.79623333333333,1.1668210526315788,8.57171052631579,233.83263157894734,1.4412421052631579
2009-4,3.5271095238095236,1.310147619047619,20.731142857142853,5.691490476190477,6.742123809523809,34.38622631578948,1.1530666666666665,8.50297619047619,232.61047619047622,1.4210142857142858
2009-5,3.3454470588235297,1.3175999999999999,20.29373684210526,5.653666666666668,6.666894117647059,33.52342500000001,1.1493,8.264264705882354,223.12157894736845,1.4725894736842102
2009-6,3.2228649999999996,1.37003,19.502157894736843,5.451499999999999,6.4378277777777795,31.826263157894733,1.1065833333333335,7.733421052631579,206.05315789473687,1.5489105263157894
2009-7,3.219704999999999,1.4000000000000001,18.917238095238094,5.321935000000001,6.396657142857143,31.095634999999998,1.0827666666666669,7.78575,199.922380952381,1.6355857142857142
2009-8,3.041068181818181,1.4098863636363632,18.274047619047614,5.281481818181818,6.339345454545455,31.533140909090914,1.0783636363636364,7.682613636363637,193.09409090909085,1.636777272727273
2009-9,2.8980631578947373,1.426275,17.97,5.21931,6.068354999999999,31.740640000000003,1.0685450000000003,7.165394736842105,189.60722222222228,1.649852631578947
2009-10,2.856590476190476,1.458861904761905,17.35390476190476,5.10232380952381,5.87743,30.634804761904757,1.0385666666666666,6.987619047619048,186.2104761904762,1.6333142857142857
2009-11,2.8380714285714284,1.4840761904761903,17.4537,5.015957142857143,5.6273800000000005,29.365300000000005,1.0198380952380952,6.952,181.23000000000002,1.62167619047619
2009-12,2.7822449999999996,1.49424,17.245894736842104,4.97896842105263,5.6297049999999995,28.893894736842107,1.0103000000000002,6.912124999999999,180.9225,1.661305
2010-1,2.850131578947368,1.4558285714285717,17.922999999999995,5.107442105263158,5.765026315789473,30.13594736842105,1.0308999999999997,7.150125000000001,187.44700000000003,1.621715
